high_reg_tmp_size,regs_per_thread,theoretical_occupancy,avg_ms,std_ms,elems_per_ms
8,16,1.0,0.025771,0.001707,1907245.303601
16,37,1.0,0.048488,0.001128,1013694.089675
24,40,1.0,0.07724,0.002119,636354.199785
32,40,1.0,0.10411,0.018455,472114.218877
48,72,0.5,0.116234,0.000478,422872.55356
64,95,0.333333,0.182034,0.013954,270016.082861
80,96,0.333333,0.190219,0.005309,258396.630209
96,128,0.333333,0.222773,0.000647,220637.348729
128,168,0.166667,0.303928,0.001981,161722.510196
