step,time,post_projection_max_abs_divergence,integrated_divergence,net_mass_flux,kinetic_energy,center_u,center_v,advective_cfl,diffusive_number
1,0.0050000000000000001,1.1980442679582204e-12,0,0,0.00013500832329446985,-0.0027761284328661848,-0.00011361088157725214,0.021896443414785825,0.2049
2,0.01,2.4199947601388772e-12,8.4703294725430034e-22,0,0.00045646289546580625,-0.0052746819687308141,-0.00021547758332152124,0.039806045857245363,0.2049
3,0.014999999999999999,1.435171426145132e-12,2.1175823681357508e-21,0,0.00087665679957443592,-0.0075379092771730846,-0.00030606582523474936,0.054682498363495001,0.2049
4,0.02,2.5390106683786939e-12,1.3129010682441655e-20,0,0.0013421429481610503,-0.0096007955135048156,-0.00038607831601642964,0.067181807755638201,0.2049
5,0.025000000000000001,2.7408613573198792e-12,1.249373597200093e-20,0,0.001820751022748841,-0.011492381284163723,-0.00045633881012305911,0.077779168894453021,0.2049
6,0.030000000000000002,2.5732437014536202e-12,-5.5904174518783822e-20,0,0.0022936241834823241,-0.013236837808217661,-0.000517707483612251,0.086832220367672075,0.2049
7,0.035000000000000003,2.5726313440666004e-12,-2.7952087259391911e-20,0,0.0027502242259157539,-0.014854341769663656,-0.00057102572315889232,0.094617476682600357,0.2049
8,0.040000000000000001,2.4591526731621016e-12,-4.0445823231392841e-20,0,0.0031851713643053516,-0.016361786886210091,-0.00061708341743573218,0.10135288871064545,0.2049
9,0.044999999999999998,9.6677874039663436e-13,-1.249373597200093e-20,0,0.0035962392175792994,-0.017773362953541975,-0.00065660204467703448,0.10721270409850589,0.2049
10,0.049999999999999996,3.0340174816956278e-12,-1.1879637085241562e-19,0,0.0039830840094167291,-0.019101027599684899,-0.00069022822755797852,0.11233774878958155,0.2049
11,0.054999999999999993,2.1236484792908072e-12,6.162164691275035e-20,0,0.0043464426764969512,-0.020354891257257653,-0.00071853385658413255,0.11684281752924507,0.2049
12,0.059999999999999991,3.2594517362927178e-12,2.498747194400186e-20,0,0.0046876310562607125,-0.02154353189547923,-0.00074202006697063328,0.12082214515381272,0.2049
13,0.064999999999999988,3.0317397897716702e-12,6.9880218148479778e-20,0,0.0050082340743307667,-0.022674252859150215,-0.00076112324623966055,0.12435355027581874,0.2049
14,0.069999999999999993,2.2842118821420065e-12,1.2779609591699256e-19,0,0.0053099184863798351,-0.023753294539539255,-0.00077622189339409797,0.12750162947617957,0.2049
15,0.074999999999999997,2.7065762825406736e-12,-5.9715822781428174e-20,0,0.0055943234645868707,-0.024786008535848086,-0.00078764359593582042,0.13032025397148678,0.2049
16,0.080000000000000002,3.5449022189881774e-12,3.3140164061324501e-20,0,0.0058630002293314993,-0.025777001255818763,-0.00079567169568675036,0.13285609955680588,0.2049
17,0.085000000000000006,2.4134687304222524e-12,-1.0842021724855044e-19,0,0.0061173821940921323,-0.026730252592255279,-0.00080055141218333026,0.13514937280629552,0.2049
18,0.090000000000000011,2.1927668014676271e-12,-8.0044613515531382e-20,0,0.0063587737311313307,-0.027649214213671544,-0.00080249532236486567,0.13722838269022411,0.2049
19,0.095000000000000015,3.3092417695002041e-12,-3.1340219048409113e-20,0,0.0065883499636906076,-0.028536891156368503,-0.00080168817390381935,0.1391202299292533,0.2049
20,0.10000000000000002,3.9703726417705809e-12,-1.7215944652943654e-19,0,0.0068071627726782151,-0.029395909712387348,-0.00079829105585984259,0.14084795640537476,0.2049
21,0.10500000000000002,2.9760291453406751e-12,-3.34895651520669e-19,0,0.0070161500045044954,-0.030228574038003577,-0.00079244497763788807,0.14243122135936659,0.2049
22,0.11000000000000003,3.8066008678505625e-12,-9.8255821881498839e-20,0,0.0072161460262227112,-0.031036913465657869,-0.00078427391588678876,0.14388685554294262,0.2049
23,0.11500000000000003,1.2118084313783584e-12,2.3907504936252627e-19,0,0.0074078925180810704,-0.03182272215384449,-0.00077388739529969902,0.1452293170247162,0.2049
24,0.12000000000000004,3.2372373011402278e-12,-1.4208977690190888e-19,0,0.0075920488673851729,-0.032587592372007854,-0.00076138266509236845,0.1464710673733533,0.2049
25,0.12500000000000003,3.4246980251673165e-12,-1.300195574035351e-19,0,0.0077692018259814923,-0.033332942534883309,-0.00074684652937651128,0.14762288310238281,0.2049
26,0.13000000000000003,1.9960907926552807e-12,7.7927031147395631e-20,0,0.0079398742786170335,-0.034060040856946666,-0.00073035688406951674,0.14869411428836476,0.2049
27,0.13500000000000004,3.2471638225506361e-12,-8.9361975935328686e-20,0,0.008104533081175716,-0.034770025366183364,-0.00071198400561361963,0.14969289993472029,0.2049
28,0.14000000000000004,2.8250310077360119e-12,-3.0704944337968387e-20,0,0.008263595992767157,-0.035463920884353323,-0.00069179163177508123,0.15082491738965623,0.2049
29,0.14500000000000005,2.7222668563808838e-12,5.6327690992410973e-20,0,0.0084174377609670288,-0.036142653475981015,-0.00066983786792502965,0.15198048249606963,0.2049
30,0.15000000000000005,1.7055376208552353e-12,5.9927581018241749e-20,0,0.0085663954363454902,-0.036807062758368772,-0.00064617594867636243,0.15307204038595457,0.2049
31,0.15500000000000005,4.0993805572320241e-12,-2.8682653176398745e-19,0,0.0087107729979692301,-0.037457912440716529,-0.00062085487774489597,0.15410485473663441,0.2049
32,0.16000000000000006,2.1733561131331847e-12,-2.4796889530869642e-19,0,0.0088508453705194862,-0.038095899358284877,-0.00059391996781385829,0.15508362089927313,0.2049
33,0.16500000000000006,2.332046014630329e-12,1.3933691982333241e-19,0,0.0089868619089019039,-0.038721661238500855,-0.00056541329632100123,0.15601253936425608,0.2049
34,0.17000000000000007,3.2512629741243693e-12,-3.9598790284138541e-20,0,0.0091190494196634417,-0.039335783403698144,-0.0005353740918129608,0.15689537853523736,0.2049
35,0.17500000000000007,3.7795183649436126e-12,7.8456426739429569e-20,0,0.0092476147812662248,-0.039938804567275256,-0.00050383906254633959,0.15773552849624004,0.2049
36,0.18000000000000008,1.8788087405297027e-12,-1.1096131609031334e-19,0,0.0093727472179987153,-0.040531221856774519,-0.00047084267686961219,0.15853604717538769,0.2049
37,0.18500000000000008,4.4520546103876679e-12,2.380162581784584e-19,0,0.0094946202754088056,-0.04111349518879262,-0.00043641740348524384,0.15929970007741062,0.2049
38,0.19000000000000009,3.9201437235236725e-12,-6.9933157707683172e-20,0,0.009613393538812031,-0.041686051082678977,-0.00040059391828069289,0.16003203571261437,0.2049
39,0.19500000000000009,3.6727149099746725e-12,-1.9142944607947188e-19,0,0.0097292141307490625,-0.042249285996603547,-0.00036340128325030327,0.16073246754786014,0.2049
40,0.20000000000000009,2.370719506122887e-12,7.2474256549446073e-20,0,0.0098422180182486732,-0.042803569256461088,-0.00032486710199508214,0.16140286163069811,0.2049
41,0.2050000000000001,1.1399631238973029e-12,4.071052102740981e-20,0,0.0099525311563647568,-0.04334924562925016,-0.00028501765552152572,0.16204511368412625,0.2049
42,0.2100000000000001,2.9070079676785099e-12,3.705769144237564e-22,0,0.010060270490656224,-0.043886637597721725,-0.00024387802124682908,0.16266095855896975,0.2049
43,0.21500000000000011,2.977908718226896e-12,-1.2033161806931404e-19,0,0.010165544838008512,-0.044416047370010356,-0.00020147217858742104,0.16325198723986328,0.2049
44,0.22000000000000011,3.2623565307532409e-12,-1.7041244107572455e-19,0,0.010268455662371528,-0.044937758662369112,-0.00015782310211887073,0.16381966174038343,0.2049
45,0.22500000000000012,1.8688149985846003e-12,-5.0663158157647839e-19,0,0.010369097759602521,-0.045452038285410591,-0.00011295284512371985,0.16436532818218735,0.2049
