profile,coordinate,velocity
u_at_x_0.5,0.015625,-0.014128554881143521
u_at_x_0.5,0.046875,-0.033693319371385894
u_at_x_0.5,0.078125,-0.047376745757767194
u_at_x_0.5,0.109375,-0.057144523331747785
u_at_x_0.5,0.140625,-0.064292651105649912
u_at_x_0.5,0.171875,-0.069689650906748543
u_at_x_0.5,0.203125,-0.073931901618992102
u_at_x_0.5,0.234375,-0.07743603977628695
u_at_x_0.5,0.265625,-0.080495137881952478
u_at_x_0.5,0.296875,-0.083314403548284954
u_at_x_0.5,0.328125,-0.086034506819341217
u_at_x_0.5,0.359375,-0.088746681236689245
u_at_x_0.5,0.390625,-0.091501785559864601
u_at_x_0.5,0.421875,-0.094314467150078712
u_at_x_0.5,0.453125,-0.097162904205535042
u_at_x_0.5,0.484375,-0.099984076809103012
u_at_x_0.5,0.515625,-0.10266399627375047
u_at_x_0.5,0.546875,-0.1050217102306687
u_at_x_0.5,0.578125,-0.10678508460453716
u_at_x_0.5,0.609375,-0.10755517952634194
u_at_x_0.5,0.640625,-0.1067542281212758
u_at_x_0.5,0.671875,-0.10354939538626792
u_at_x_0.5,0.703125,-0.096740058724486447
u_at_x_0.5,0.734375,-0.084589633522789753
u_at_x_0.5,0.765625,-0.064573770216418414
u_at_x_0.5,0.796875,-0.033007630559184251
u_at_x_0.5,0.828125,0.01548146348032471
u_at_x_0.5,0.859375,0.088610548348325727
u_at_x_0.5,0.890625,0.19696951488685632
u_at_x_0.5,0.921875,0.35352041975309045
u_at_x_0.5,0.953125,0.56988274259208072
u_at_x_0.5,0.984375,0.84602334808496016
v_at_y_0.5,0.015625,0.021756595239005042
v_at_y_0.5,0.046875,0.056931117301542149
v_at_y_0.5,0.078125,0.081107260163137074
v_at_y_0.5,0.109375,0.095156365187886324
v_at_y_0.5,0.140625,0.10146243810442507
v_at_y_0.5,0.171875,0.10246684450043876
v_at_y_0.5,0.203125,0.10009200029432862
v_at_y_0.5,0.234375,0.095659764107083683
v_at_y_0.5,0.265625,0.089994218337796583
v_at_y_0.5,0.296875,0.083557817437920512
v_at_y_0.5,0.328125,0.076567698595837508
v_at_y_0.5,0.359375,0.069081506056874617
v_at_y_0.5,0.390625,0.061056550795589776
v_at_y_0.5,0.421875,0.052389367782647522
v_at_y_0.5,0.453125,0.042942266861985282
v_at_y_0.5,0.484375,0.032562149344181258
v_at_y_0.5,0.515625,0.021095628268835445
v_at_y_0.5,0.546875,0.0084036071257294793
v_at_y_0.5,0.578125,-0.005622017147687698
v_at_y_0.5,0.609375,-0.021036960827949855
v_at_y_0.5,0.640625,-0.037815608847712116
v_at_y_0.5,0.671875,-0.055810944588142231
v_at_y_0.5,0.703125,-0.074698649015692953
v_at_y_0.5,0.734375,-0.093899307396369397
v_at_y_0.5,0.765625,-0.11247191415308
v_at_y_0.5,0.796875,-0.12897433436935135
v_at_y_0.5,0.828125,-0.14129893924802781
v_at_y_0.5,0.859375,-0.14653013751105237
v_at_y_0.5,0.890625,-0.14096567039775529
v_at_y_0.5,0.921875,-0.12063450849805399
v_at_y_0.5,0.953125,-0.082898394855211652
v_at_y_0.5,0.984375,-0.029625808651179968
